Registrant Name,amount
"MAGIC LEAP, INC.",3500.0
LONG NYQUIST AND ASSOCIATES,3500.0
SHIFT5,3500.0
EDGE DAIRY FARMER COOPERATIVE,3500.0
"THE MITA GROUP, INC.",3500.0
CHERNIKOFF & COMPANY,3500.0
CURRENT GOVERNMENT RELATIONS,3500.0
MR. ADRIAN PLESHA,3500.0
"SUPERNAL, LLC (FKA GENESIS AIR MOBILITY)",3500.0
DALEY POLICY GROUP,3500.0
"PARAGON BIOSCIENCES, LLC",3500.0
MR. GIL GUTKNECHT,3500.0
"HEMLOCK SEMICONDUCTOR OPERATIONS, LLC",3500.0
TEMPUS LABS INC,3500.0
MPSTRATEGIES LLC,3530.0
RICHARD POLICY GROUP,3540.0
WILLIAM HAMILTON,3550.0
AMERICAN ADVERTISING FEDERATION,3560.95
ILLINOIS COLLEGE OF OPTOMETRY,3580.0
"ABRAHAM & ROETZEL, LLC",3590.0
ORION STRATEGIES LLC,3600.0
CARTERMCCLEAN LLC,3606.67
"NEXA STRATEGIES, LLC",3620.0
AMERICAN ASSOCIATION OF COLLEGES OF NURSING,3650.0
"NATIONAL COUNCIL OF HIGHER EDUCATION LOAN PROGRAMS, INC",3650.0
SAFE KIDS WORLDWIDE,3650.0
VINCENT BRANDYS,3650.0
ASSOCIATION OF COMMUNITY COLLEGE TRUSTEES,3659.15
UNIVERSITY OF KANSAS,3682.53
WALTER M COFFIELD,3700.0
ULTRA ELECTRONICS ADVANCED TACTICAL SYSTEMS,3700.0
"FORM ENERGY, INC.",3700.0
MR. ROBERT GUSTAFSON,3700.0
THOMPSON & HORTON LLP,3700.0
"ENEL NORTH AMERICA, INC. AND ITS AFFILIATES",3700.0
"KEEVICAN WEISS BAUERLE & HIRSCH, LLC",3700.0
LODESTAR STRATEGIC,3744.0
PAUL T. GLOVER CONSULTANTS,3750.0
IMPACT STRATEGIES LLC,3750.0
"PD FRAZER CONSULTING, INC.",3750.0
KENT STATE UNIVERSITY,3750.0
HILL IMPACT,3750.0
"RIVIAN AUTOMOTIVE, LLC",3750.0
"SHERIDAN ENERGY & ENVIRONMENTAL CONSULTING, LLC",3750.0
JOHN HOWES,3750.0
"WEXFORD STRATEGIC ADVISORS, INC.",3750.0
"DIGENOVA & TOENSING, LLP",3750.0
ONE ACTION,3780.0
COMMONWEALTH CONSULTING PARTNERS,3800.0
JOHN SCIAMANNA,3801.5
"EDNEXUS ADVISORS, LLC",3815.0
"CONSENSUS COMMUNICATIONS, INC.",3820.0
CMOC MINING USA LTD. D/B/A CMOC INTERNATIONAL,3828.95
"MICHELIN NORTH AMERICA, INC.",3832.0
"WEST & WEST, LLC",3850.0
"HEROUX & ASSOCIATES, PLLC",3850.0
"AUSTIN COPELIN & REYES, LLC",3850.0
LOYOLA UNIVERSITY CHICAGO,3875.0
SMITH&BOYETTE,3900.0
BON SECOURS MERCY HEALTH (FORMERLY MERCY HEALTH),3900.0
TELEGRAPH AVENUE ADVISORS,3900.0
"SANDLER TRADE, LLC",3950.0
"HOWARD CONSULTING GROUP, INC.",3950.0
"HEALTH POLICY SOURCE, INC.",3956.0
THE WINSTON TERRELL GROUP,3970.84
COUNCIL FOR A STRONG AMERICA,3975.0
ROSEMONT STRATEGIES,4000.0
NO LABELS,4000.0
"THE FEDERAL GROUP, INC.",4000.0
RON CAMPBELL / SPS CONSULTANTS,4000.0
DIGITAL CONTENT NEXT,4000.0
"VEOLIA NORTH AMERICA, LLC",4000.0
APPLIED INTUITION,4000.0
CURALEAF INC.,4000.0
"JACK LATVALA, INC",4000.0
CAPITAL PARTNERSHIPS (VA) INC.,4000.0
AMERICAN PYROTECHNICS ASSOCIATION,4000.0
BLITZSTEIN CONSULTING LLC,4000.0
NICHOLAS & LENCE COMMUNICATIONS LLC,4000.0
"MEHLMAN CAPITAL STRATEGIES, INC.",4000.0
"DANIEL J. FRENCH & ASSOCIATES, LLC",4000.0
MERIDIAN 122 LLC,4000.0
DAVIS GOLDBERG & GALPER PLLC (FORMERLY DAVIS GOLDBERG GALPER PLLC),4000.0
"THE MIZEUR GROUP, LLC",4000.0
POLARIS CAPITOL STRATEGIES LLC,4000.0
"KV STRATEGIES, LLC",4000.0
MELVIN GOODWEATHER,4000.0
"ASML US, LLC",4000.0
GRV STRATEGIES LLC,4000.0
NATIONAL ASSOCIATION OF ACCOUNTABLE CARE ORGANIZATIONS,4000.0
"VOLANSI, INC.",4000.0
CAMECO CORPORATION,4000.0
JWF CONSULTING LLC,4000.0
OAK GROVE STRATEGIES,4000.0
"PRIME TRANSATLANTIC, LLC",4000.0
"O'CONNELL & DEMPSEY, LLC",4000.0
HSA STRATEGIES,4000.0
XAVIER EQUIHUA,4000.0
DENISE WILSON,4000.0
POLICY DIRECTIONS INC.,4000.0
"LEHMAN NILON & ASSOCIATES, LLC",4025.0
"CHESAPEAKE BAY FOUNDATION, INC.",4025.0
UC HEALTH,4050.0
MILLER GROUP INTERNATIONAL LLC,4050.0
"RECREATIONAL EQUIPMENT, INC.",4050.0
"FRAGOMEN, DEL REY, BERNSEN, & LOEWY LLP",4050.0
ASSOCIATION OF AMERICAN UNIVERSITIES,4051.9
RAY ANDERSON,4055.0
AMERICAN SOCIETY OF CLINICAL ONCOLOGY,4097.0
EDGE HILL GROUP (FORMERLY KNOWN AS MR. TOBYN ANDERSON),4100.0
AMERICAN BUREAU OF SHIPPING,4100.0
SCHIFF & HARDIN LLP,4114.44
OLD TOWN CREEK CONSULTING,4120.0
FOSTER GARVEY (FORMERLY GARVEY SCHUBERT BARER),4131.0
VPR ASSOCIATES,4175.0
THE UNIVERSITY OF CHICAGO,4198.2
WILDHORSE CONSULTING,4200.0
GOTTLIEB STRATEGIC CONSULTING LLC,4200.0
DARTMOUTH-HITCHCOCK MEDICAL CENTER,4200.0
"DANIEL A. MICA, LLC",4200.0
PARTNERSHIP FOR QUALITY HOME HEALTHCARE,4200.0
"JOHN ENGBER & ASSOCIATES, INC.",4200.0
ETKA CONSULTING,4205.0
SES GOVERNMENT SOLUTIONS,4231.79
"MOLNLYCKE HEALTH CARE US, LLC",4250.0
"PORT SIDE STRATEGIES, LLC",4250.0
PETER BLOCKLIN,4250.0
MS. PATRICIA LEWIS,4250.0
BLOUNT STRATEGIC INITIATIVES,4250.0
"BIERSACK GOVERNMENT RELATIONS TEAM, LLC",4250.0
MR. THOMAS HUGHES,4250.0
KEVIN ROY,4250.0
SHER TREMONTE LLP,4300.0
ORBITZ WORLDWIDE,4300.0
NATIONAL ASSOCIATION OF WATERFRONT EMPLOYERS,4326.0
COMMERCIAL VEHICLE TRAINING ASSOCIATION,4350.0
OLIVE AI,4350.0
NATIONAL COOPERATIVE SERVICES CORPORATION,4350.0
"HILL & ROBBINS, PC",4350.0
NATIONAL ASSOCIATION OF SECONDARY SCHOOL PRINCIPALS,4384.67
"DONNA M. FIORENTINO, LLC",4400.0
"HYPERFOCAL COMMUNICATIONS, LLC",4400.0
"END CITIZENS UNITED ACTION FUND // LET AMERICA VOTE ACTION FUND, FKA END CITIZENS UNITED ACTION FUND",4421.44
"SAPPHIRE STRATEGIES, LLC",4425.0
"THE SUFFOLK GROUP, LLC",4425.0
MS. JEANNE CONNELLY,4450.0
"MAVEN, INC.",4450.0
MAGGI LAZARUS,4455.0
THE MCDONNELL GROUP LLC,4469.1
GLOBAL POLICY INITIATIVES,4500.0
MRS. NELDA LUCE BLAIR,4500.0
LARGE PUBLIC POWER COUNCIL,4500.0
"OTHRAM, INC.",4500.0
"RUBIN, TURNBULL & ASSOCIATES",4500.0
SPLYSS LLC,4500.0
GREEN T ADVISORS,4500.0
"BMW OF NORTH AMERICA, LLC",4500.0
"S2C PACIFIC, LLC",4500.0
CHAIN LINK SOLUTIONS LLC,4500.0
PLATT STRATEGIC CONSULTING LLC,4500.0
CHEGG INC.,4500.0
CAPITAL CONSULTANTS,4500.0
"THE ROSE COMPANY, LLC",4500.0
"LAUREATE EDUCATION, INC.",4500.0
"GAVEL RESOURCES, LLC",4500.0
CASSIE FOLK & ASSOCIATES,4500.0
EIS SOLUTIONS,4500.0
NEW YORK UNIVERSITY,4539.65
ORION ADVOCATES,4540.0
THE FOUNDATION FOR ADVANCING ALCOHOL RESPONSIBILITY (FKA THE CENTURY COUNCIL),4543.75
ZIONTZ CHESTNUT,4550.0
CAPITOL HILL PARTNERS,4552.0
"GRQ, LLC",4560.0
TRANSNATIONAL STRATEGY GROUP LLC,4590.0
"POWERS GLOBAL STRATEGIES, LLC",4600.0
"R.G. FLIPPO AND ASSOCIATES, INC",4600.0
NORTHWESTERN MEMORIAL HOSPITAL,4600.0
SHELLY LYONS PUBLIC AFFAIRS AND COMMUNICATIONS,4600.0
"THE TUGGEY GROUP, LLP F/K/A TUGGEY MCCUTCHEON, LLP",4600.0
"COLLIER COLLECTIVE, LLC",4600.0
THUNDERBIRD STRATEGIC LLC,4600.0
NATIONAL TRUST COMMUNITY INVESTMENT CORPORATION,4600.0
"UNILEVER UNITED STATES, INC.",4602.85
TRUST FOR AMERICA'S HEALTH,4607.83
"BERNI CONSULTING, LLC",4620.51
STRYKER CORPORATION,4640.0
"ZELL & COX LAW, P.C.",4650.0
UNIVERSITY OF MICHIGAN,4656.0
UNITED SPINAL ASSOCIATION,4668.0
WARNER MUSIC GROUP,4699.8
H. LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE,4700.0
CASSIDY LEVY KENT (USA) LLP (FKA JACK A. LEVY),4700.0
SENTINEL WORLDWIDE,4700.0
NATIONAL DOWN SYNDROME SOCIETY,4700.0
HELEN DELICH BENTLEY,4709.0
ALAN REUTHER,4710.0
"BENNET & BENNET, PLLC",4710.0
"JEFFERSON BUSINESS CONSULTING, LLC",4725.0
ADISA - ALTERNATIVE & DIRECT INVESTMENT,4732.61
BUSINESS GOVERNMENT SOLUTIONS,4750.0
"SAAB, INC. (FKA SAAB DEFENSE AND SECURITY USA LLC)",4750.0
MICHAEL CLAUNCH,4750.0
"OREXIGEN THERAPEUTICS, INC.",4750.0
"QUORUM PUBLIC POLICY, INC.",4750.0
"MEHLMAN CAPITOL STRATEGIES, LLC",4750.0
JEFFERSON STREET CONSULTING LLC,4750.0
MR. RON MCMURRAY,4750.0
WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,4750.0
JOHN W. CONRAD III DBA JOHN W. CONRAD III AND COMPANY,4760.0
NATIONAL ASSOCIATION FOR BIOMEDICAL RESEARCH,4775.0
FOOD RESEARCH AND ACTION CENTER,4800.0
"GEORGE J. HOCHBRUECKNER & ASSOCIATES, INC.",4800.0
ILLINOIS TOOL WORKS INC.,4800.0
DAVID KENSINGER AND ASSOCIATES (DBA KENSINGER & HICKAM PUBLIC AFFAIRS),4800.0
MARCH OF DIMES,4821.42
AMERICAN COLLEGE OF SURGEONS,4826.0
GILCHRIST & COMPANY,4880.0
"INTERNATIONAL UNION OF POLICE ASSOCIATIONS, AFL-CIO",4889.82
POPULATION ACTION INTERNATIONAL,4900.0
"BERQUAM VENTURES, LLC",4900.0
"SHERMAN STRATEGIC AFFAIRS, LLC",4900.0
FRESENIUS KABI USA LLC,4900.0
GABBERT CONSULTING CO LLC,4900.0
JDRF INTL. (FORMERLY KNOWN AS JUVENILE DIABETES RESEARCH FOUNDATION INTL.),4913.38
BRIMLEY GROUP INC.,4920.0
"KCOE ISOM, LLP",4945.0
NATIONAL ASSOCIATION FOR MUSIC EDUCATION,4948.66
ANAKLIA DEVELOPMENT CONSORTIUM LLC,4950.0
CRANMER CONSULTANTS,4950.0
BELLA WOLITZ,4955.0
LEVINE & COMPANY,4962.0
THE JEWISH FEDERATIONS OF NORTH AMERICA,4972.5
ELECTROLUX NORTH AMERICA,5000.0
"AMERICAN SECURITIZATION FORUM, INC.",5000.0
JOHN SAWYER,5000.0
JGE CONSULTING,5000.0
YELLOWSTONE STRATEGIES,5000.0
MRIGLOBAL (FORMERLY) MIDWEST RESEARCH INSTITUTE,5000.0
BG4 LLC,5000.0
BANTON CAPITOL STRATEGIES,5000.0
MCGINN AND COMPANY,5000.0
SANDER RESOURCES,5000.0
MR. MATTHEW R. SIMMONS,5000.0
"ACT, INC.",5000.0
ELLER GROUP,5000.0
ASSOCIATION FOR COMPETITIVE TECHNOLOGY,5000.0
BW CONSULTING LLC,5000.0
"ANIMAL POLICY GROUP, LLC",5000.0
"FEDERAL RESEARCH STRATEGIES, LLC",5000.0
JOHN BERREY,5000.0
"MIZUHO BANK, LTD.",5000.0
SCHERDER AND ASSOCIATES[FORMERLY THE WILLARD GROUP],5000.0
GORDON SMITH,5000.0
"BCBSM, INC.",5000.0
"SIGNIFICANT CONSULTING, LLP",5000.0
RISSING STRATEGIC LLC,5000.0
CHRISTIE STRATEGY GROUP,5000.0
METCALF FEDERAL RELATIONS,5000.0
UNDER ARMOUR,5000.0
"MCB CONSULTING, INC.",5000.0
MS. DIANE NEWBERG,5000.0
"TAX POLICY ADVISORS, LLC",5000.0
"TRAVAGLINI, EISENBERG & KILEY LLC",5000.0
NATIONAL KIDNEY FOUNDATION,5025.0
ROOSTER LLC,5050.0
AMERICAN HORSE COUNCIL,5050.0
"OPTIM GROUP, LLC",5057.98
MORPHOSYS US INC.,5060.59
WATSON SPENCE LLP,5080.0
"THE MALLARD GROUP, LLC",5080.0
"NEW YORK FARM BUREAU, INC.",5100.0
"J.A.HILL GROUP, LLC",5100.0
J. GORDON STEPHENS JR,5100.0
KROLL GLOBAL,5100.0
"CAPITOL DYNAMICS, LLC",5100.0
MRS. JUDITH C. SHERMAN,5100.0
"THE FREIMUTH GROUP, LLC",5110.0
"SCALE AI, INC.",5150.0
GLOBAL ALLIANCE FOR CANNABIS COMMERCE,5155.0
U.S. FUND FOR UNICEF,5175.0
STANDARD CHARTERED BANK NEW YORK BRANCH,5200.0
JONATHAN SHEINER LLC,5207.0
SACKLER BRINKMANN & HUGHES LLC,5220.0
CATHOLIC HEALTH ASSOCIATION OF THE UNITED STATES,5225.0
"F/S CAPITOL CONSULTING, LLC",5250.0
FOLEY STRATEGIES LLC,5250.0
GARY AND MARY WEST HEALTH INSTITUTE,5250.0
"WILSON ELSER MOSLOWITZ EDELMAN & DICKER, LLP",5273.8
WISCONSIN HOSPITAL ASSOCIATION,5275.0
SUSTAINABLE STRATEGIES DC,5286.0
ACT FOR AMERICA,5287.58
LOUISIANA ENERGY SERVICES,5300.0
CML CONSULTING SERVICES INC. (FORMERLY L.A. SKIP BAFALIS),5300.0
JEFFRIES STRATEGIES LLC,5300.0
EMORY UNIVERSITY,5328.1900000000005
CENTER FOR PROCUREMENT ADVOCACY,5350.0
MOSAIC,5390.0
INTERNATIONAL STABILITY OPERATIONS ASSOCIATION,5400.0
LS2GROUP,5400.0
FITZGERALD PETERBILT,5400.0
BOND & ASSOCIATES,5400.0
"THE FLOURNOY GROUP, LLC",5400.0
SUMMIT PUBLIC AFFAIRS,5400.0
OLSON ADVOCACY GROUP LLC,5400.0
UNION SQUARE STRATEGIC LLP,5400.0
DAVID E SCHAFFER ASSOCIATES,5400.0
"HAWKSBILL GROUP, LLC",5400.0
WILLIAM O'NEILL,5400.0
MUZIN CAPITOL PARTNERS LLC,5400.0
CENTER FOR REPRODUCTIVE RIGHTS,5438.0
PARSONS BEHLE & LATIMER,5450.0
"QORVIS COMMUNICATIONS LLC (FORMERLY MSLGROUP AMERICAS, INC., D/B/A QORVIS MSLGROUP)",5450.0
KASIRER LLC,5450.0
FLEXTECH ALLIANCE,5450.0
EDMONDSON HOPKINS GROUP,5450.0
"VIOHL & ASSOCIATES, INC.",5450.0
"BAKER & MCKENZIE, LLP",5466.0
DUFFY&SHANLEY,5500.0
VIKKI COOPER & ASSOCIATES,5500.0
THE WATTS GROUP PLLC,5500.0
KEMP GROUP LLC (DBA - KEMP PARTNERS),5500.0
TUCKER ELLIS & WEST LLP,5500.0
"DEBRUNNER & ASSOCIATES, INC.",5500.0
D-WAVE GOVERNMENT INC.,5500.0
"MEEKS, BUTERA & ISRAEL PLLC",5500.0
MR. JONATHAN BAND,5500.0
BLUE MARBLE STRATEGY LLC,5500.0
THE FGA GROUP LLC,5500.0
"POINT52 GROUP, LLC",5500.0
U.S. GLOBAL LEADERSHIP CAMPAIGN,5500.0
"CBD STRATEGIC, LLC",5500.0
MEREDITH ADVOCACY GROUP,5500.0
JAMES WOODROFFE,5500.0
MARK BARNES & ASSOCIATES,5520.0
TRINITY HEALTH,5560.0
CAPITOL ASSOCIATES,5570.0
"SPECIAL OLYMPICS, INC.",5570.52
KCOMM,5600.0
ENTERPRISE COUNSEL GROUP ALC,5600.0
"LEGISLATIVE STRATEGIES, INC.",5600.0
UNIVERSITY OF ILLINOIS,5642.5
ZAMOYSKI AND COMPANY,5650.0
SUSAN CARR & ASSOCIATES,5650.0
"WARWICK GROUP CONSULTANTS, LLC",5700.0
HCM STRATEGISTS,5700.0
COLUMBIA STRATEGIC COUNSEL,5700.0
THE NEMOURS FOUNDATION - A FLORIDA NOT-FOR-PROFIT CORPORATION,5700.0
DIAMOND FOUNDRY,5700.0
"MALDEGEN TEMPLEMAN & INDALL, LLP",5725.0
"IAP WORLDWIDE SERVICES, INC.",5750.0
THE FEIGHAN TEAM,5750.0
"JACQUES & ASSOCIATES, INC.",5750.0
THE TRUST FOR PUBLIC LAND,5760.0
WATKINSON MILLER PLLC,5796.54
AMERICAN OSTEOPATHIC ASSOCIATION,5800.0
MR. JOE MIKLOSI,5800.0
"ACCENTCARE, INC.",5800.0
MCCARTY FINANCIAL LLC,5812.5
"SPECTRUM CONSULTING GROUP, LLC",5825.0
"CHILDREN'S HOSPITAL AND HEALTH SYSTEM, INC.",5825.0
WALDO LAW OFFICES PLLC,5853.3
UNIVERSITY OF WISCONSIN-MADISON,5872.03
NATIONAL EMPLOYMENT LAWYERS ASSOCIATION,5876.7
THE HAYES INITIATIVE LLC,5900.0
"ADVANTUS STRATEGIES, LLC",5900.0
AMERICAN KIDNEY FUND,5910.8
FORCEPOINT FEDERAL LLC,5950.0
THE WONDERFUL COMPANY (FKA ROLL GLOBAL),5950.0
"NATIONAL COUNCIL OF STATE BOARDS OF NURSING, INC.",5950.0
POLICY SOLUTIONS LLC,5950.0
"SHAW, BRANSFORD & ROTH, P.C. (FORMERLY SHAW, BRANSFORD, VEILLEUX & ROTH, P.C.)",5950.0
ALZHEIMER'S ASSOCIATION,5951.05
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,5992.05
PHILIP BECHTEL,6000.0
NORTON ROSE FULBRIGHT US LLP,6000.0
GLOBAL BUSINESS ALLIANCE,6000.0
MERKAVA STRATEGIES CORPORATION,6000.0
"TECHNOLOGY ASSOCIATION OF AMERICA, INC.",6000.0
"PARDES BIOSCIENCES, INC.",6000.0
WALKINSHAW STRATEGIES LLC,6000.0
JOHN L BUCKLEY,6000.0
"NCHA, INC.",6000.0
"ROCKET LAB USA, INC.",6000.0
ELECTRONIC FUNDS TRANSFER ASSOCIATION,6000.0
O'DONNELL & ASSOCIATES LLC,6000.0
"SHUMAKER ADVISORS, LLC",6000.0
"AMERICANS FOR CARBON DIVIDENDS, INC",6000.0
"CAPITOL ADVOCACY & GOVERNMENT AFFAIRS, LLC",6000.0
RICE UNIVERSITY,6004.88
"ENDGAME STRATEGIES, LLC",6025.0
"ANSYS, INC.",6050.0
ROKALA PUBLIC AFFAIRS,6050.0
JUDY LEMONS,6075.0
TACOMA PUBLIC UTILITIES,6083.32
THE PAUL LAXALT GROUP,6100.0
MICHELLE NAWAR,6100.0
AMERICAN COUNCIL FOR VOLUNTARY INTERNATIONAL ACTION,6118.75
SCAN HEALTH PLAN,6150.0
"UNITED NEGRO COLLEGE FUND, INC.",6200.0
MADISON GOVERNMENT AFFAIRS,6200.0
MFJ INTERNATIONAL,6200.0
CORNELL UNIVERSITY,6232.4
NEXTDECADE CORPORATION,6250.0
SGR LLC GOVERNMENT RELATIONS AND LOBBYING,6250.0
"NATIONAL ASSOCIATION OF ELECTRICAL DISTRIBUTORS, INC.",6250.0
BRIAN J. MAY,6250.0
NATIONAL ASSOCIATION OF COMMUNITY HEALTH CENTERS,6250.0
"IMPACT PUBLIC AFFAIRS (FORMERLY MASSEY, WATSON & HEMBREE LLC",6250.0
AMERICAN BLOCKCHAIN INITIATIVE,6275.0
ANNE MERVENNE,6280.0
VOLVO CAR CORPORATION,6295.0
GOVERNMENT RELATIONS INC,6300.0
AMERICAN FORESTS,6317.13
"JOHN LADD & ASSOCIATES, INC.",6350.0
MARLOWE & COMPANY,6350.0
ACT FOR NIH,6350.0
EQV STRATEGIC,6400.0
FRIENDS COMMITTEE ON NATIONAL LEGISLATION,6405.0
THE MARGOLIN GROUP,6420.0
NOKIA OF AMERICA CORPORATION,6450.0
DOUGLAS SHAW,6485.0
CHILDREN'S HOSPITAL BOSTON,6495.0
NEW YORK BANKERS ASSOCIATION,6500.0
THE KPM GROUP DC LLC,6500.0
"535 GROUP, LLC",6500.0
ARM INC.,6500.0
TOTAL SPECTRUM/STEVE GORDON & ASSOCIATES,6500.0
DEL MONTE FOODS,6500.0
"FEDERAL INITIATIVES, LLC",6500.0
FLEET RESERVE ASSOCIATION,6500.0
MR. REX SHERRY,6500.0
DUN & BRADSTREET,6500.0
"AKF STRATEGIES, LLC",6500.0
ANDERSON & BAKER,6500.0
3M HEALTH INFORMATION SYSTEMS,6500.0
"STORM KING STRATEGIES, LLC",6500.0
"SHIRE REGENERATIVE MEDICINE FKA ADVANCED BIOHEALING, A SHIRE COMPANY",6500.0
LIBERTY SQUARE GROUP,6510.0
MICHAEL SOLON-CAPITOL LEGISTICS,6600.0
NASSAU SUFFOLK HOSPITAL COUNCIL,6600.0
WAXMAN STRATEGIES,6641.0
SLADE GORTON LLC,6649.0
"RENAISSANCE STRATEGY GROUP, LLC",6650.0
"ALEXANDER J. BECKLES, L.L.C.",6650.0
MR. ROBERTO A. GONZALEZ,6650.0
QUINN THOMAS PUBLIC AFFAIRS,6675.0
FREEDOM FROM RELIGION FOUNDATION,6688.76
"DAVID SCOTT PARTNERS, LLC",6700.0
AMERICAN ASSOCIATION OF VETERINARY MEDICAL COLLEGES (FKA ASSOCIATION OF AMERICAN,6700.0
JOHN HUBER,6700.0
"DUCKS UNLIMITED, INC",6730.0
PHARMA & BIOPHARMA OUTSOURCING ASSOCIATION,6740.0
MUSTANG GOVERNMENT STRATEGIES LLC,6740.0
"HANESBRANDS, INC.",6750.0
MIDFIELD CONSULTING LLC,6750.0
LAW OFFICES OF BERNARD WUNDER (FKA WUNDER & LILLEY),6750.0
"SOLOMON P. ORTIZ HOLDINGS, LLC",6750.0
"CHRIS PARANDIAN CONSULTING, LLC",6750.0
CC LAW & POLICY,6750.0
"BRIGHTHOUSE SERVICES, LLC",6773.0
JOHN GRZEBIEN,6800.0
"WESTMORELAND160, LLC",6800.0
BERNSTEIN STRATEGY GROUP,6800.0
ADVION (FORMERLY NATIONAL ASSOCIATION FOR THE SUPPORT OF LONG TERM CARE),6825.0
"LAROCCO & ASSOCIATES, INC.",6834.0
MICHIGAN CREDIT UNION LEAGUE,6844.32
ABELL & PRYOR,6850.0
JAMES BACKLIN,6880.0
GOVERNMENT SOLUTIONS LLC,6900.0
"AIM, LLC",6900.0
"NORTHPOINT STRATEGIES, LLC",6910.0
"THE HAMM CONSULTING GROUP, LLC",6950.0
JOHN DUDINSKY & ASSOCIATES,6950.0
"ROBERT J. MILLER CONSULTING, LLC (FROMLY KNOWN AS ROBERT J. MILLER)",6950.0
SPECTRUM HEALTH,6950.0
ECONOMIC INNOVATION GROUP,6950.0
CAPSTONE COUNSEL GROUP LLC,6950.0
ALLISON + PARTNERS,6965.37
WALSH CAPITOL CONSULTING LLC,6980.0
PRISM GROUP,6990.0
TRUCKER HUSS APC,6990.4
"SCHUMACHER PARTNERS INTERNATIONAL, LLC",7000.0
J.SULLIVAN ADVOCACY,7000.0
"STARRY, INC.",7000.0
GREGORY TERRY,7000.0
HOUSING POLICY COUNCIL,7000.0
AUSTAL USA,7000.0
"STRATFORD STRATEGIES, LLC FORMERLY KNOWN AS CB ANDERSON PARTNERS, LLC",7000.0
"FOURTH STREET ADVOCACY (CORSA POTOMAC, LLC)",7000.0
"GARNER GROUP INTERNATIONAL, LLC",7000.0
VITAS HEALTHCARE CORPORATION,7000.0
DEAN INTERNATIONAL INC.,7000.0
ALVARADO & BENNETT,7000.0
"LUCID USA, INC.",7000.0
BLOOMBERG LLP,7000.0
"PUBLIC POLICY RESEARCH, INC.",7000.0
"MKG CONSULTING, LLC",7000.0
NAU COUNTRY INSURANCE COMPANY,7000.0
CHRIS KATOPIS,7000.0
KANSAS STATE UNIVERSITY,7035.0
"SERVICENOW, INC.",7050.0
BETTER WORLD FUND,7050.0
DIROMA ECK & CO. LLP,7050.0
AMERICAN LUNG ASSOCIATION,7099.11
TERRELL PUBLIC AFFAIRS,7100.0
"LEE & SMITH, PC",7100.0
SWEENEY & ASSOCIATES,7150.0
JOHN MCKECHNIE LLC,7203.0
QUARLES & BRADY LLP,7210.0
MCCAULLEY&COMPANY,7223.16
"WOMBLE CARLYLE SANDRIDGE & RICE, LLP",7225.0
"CAPITALEDGE ADVOCACY INC. (FORMERLY CAPITALEDGE ADVOCACY, LLC)",7250.0
MR. PETER KNIGHT,7250.0
"IOVANCE BIOTHERAPEUTICS, INC.",7250.0
"RICHARD L. COLLINS & COMPANY, INC.",7250.0
RUSSELL PAUL,7250.0
THE FERRARO GROUP,7250.0
"LIVE NATION ENTERTAINMENT, INC.",7250.0
"SK HYNIX AMERICA, INC.",7250.0
NBS STRATEGIES,7250.0
"ALEXANDRIA VENTURES, LLC",7300.0
"DAVID GARDINER & ASSOCIATES, LLC",7350.0
YORKTOWN SOLUTIONS,7350.0
WHEAT SHROYER GOVERNMENT RELATIONS LLC,7350.0
CORDIA COMPANIES,7400.0
CHUCK ELKINS & ASSOCIATES,7410.0
ADVOCATES FOR HIGHWAY AND AUTO SAFETY,7435.0
HUAWEI TECHNOLOGIES USA INC.,7435.0
THE ASSOCIATION OF COMMUNITY PHARMACISTS CONGRESSIONAL NETWORK,7443.67
THE KIDD GROUP LLC,7450.0
MS. CHRISTINA METZLER,7450.0
THE VOLKOV LAW GROUP LLC,7500.0
"NORTH AMERICAN SUBARU, INC.",7500.0
REDFIVE STRATEGIES,7500.0
WYLE,7500.0
RANDALL DAVIS ASSOCIATES LLC,7500.0
CONVENIENCE DISTRIBUTION ASSOCIATION,7500.0
GOBRANDS INC. D/B/A GOPUFF,7500.0
"BATIE & ASSOCIATES, LLC",7500.0
MR. CURTIS L. SEIDLITS,7500.0
INTERNATIONAL CHIROPRACTORS ASSOCIATION,7500.0
CASCADE STRATEGIES,7515.0
CARLYLE CONSULTING,7550.0
UNIVERSITY OF WASHINGTON,7550.0
JEFFERY L CARDWELL,7555.84
"SIX-7 STRATEGIES, LLC",7600.0
LATHAM & WATKINS LLP,7600.0
SHOPIFY INC,7600.0
VICTORY COALITION STRATEGIES LLC,7600.0
DELTA COUNCIL,7604.32
FLYWHEEL GOVERNMENT SOLUTIONS,7625.0
"WESTERN SKIES STRATEGIES, INC.",7650.0
"SPQR STRATEGIES, PLLC",7700.0
"AVISA PARTNERS US, INC.",7750.0
"CUMBERLAND GAP CONSULTING, LLC",7750.0
MR. VINCENT FRILLICI,7758.68
"INTERNATIONAL ADVISORY SERVICES GROUP, LTD",7760.0
BRAEBURN INC. FORMERLY KNOWN AS BRAEBURN PHARMACEUTICALS INC,7800.0
MS. MISSY BRANSON,7800.0
MR. GREGORY R. SCOTT,7850.0
"DC STRATEGIES GROUP, LLC",7850.0
EARTHJUSTICE,7899.32
NASHVILLE SONGWRITERS ASSOCIATION INTERNATIONAL,7900.0
